"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.16637","","","","","","","","","","99.3231","","","","","","","","99.39","",
"Afghanistan","AFG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","11.1428003311157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.11322","","","","","","","56.25475","",
"Angola","AGO","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.18212","","","","","","","","","","","","","70.58513","","","","","",
"Albania","ALB","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.49808","","","","","","","99.12132","","","98.85624","99.02019","","","","","","99.63","",
"Andorra","AND","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","50.9406509399414","51.6998710632324","52.6161499023438","53.6237106323242","54.7074813842773","55.2588310241699","56.7993202209473","58.3124618530273","59.8275909423828","61.1543197631836","62.5625381469727","63.9132690429688","65.3463973999023","66.9678726196289","68.2657165527344","67.538200378418","68.806999206543","70.0268936157227","71.4640274047852","72.6830368041992","73.7770385742188","74.9502105712891","76.0248565673828","77.2530517578125","78.6697463989258","78.8854522705078","79.9955215454102","80.614616394043","80.0524215698242","81.0651779174805","81.9396667480469","78.9963607788086","79.65085","80.23499","81.66724","82.90155","83.29861","83.63236","82.32437","82.84017","83.21284","",
"United Arab Emirates","ARE","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","56.276969909668","","","","","","","","","","84.514289855957","","","","","","","","","","","","","","","","","","","","97.00174","","","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.3024826049805","","","","","","","","","","","98.5402069091797","","","","","","","","","","99.12767","","","","","99.50357","","","99.69673","99.58867","99.71145","99.61428","99.59812","99.4024","99.6435","99.62893","","99.75765","",
"Armenia","ARM","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9105682373047","","","","","","","","","","","","99.86167","","","","","","","","","","99.87619","","","","","","99.87416","","",
"American Samoa","ASM","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.4436492919922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9014892578125","","","","","","","","100","","99.94579","99.93333","99.93176","99.91767","99.9267","99.93638","99.92011","99.91648","99.91311","","",
"Burundi","BDI","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","21.4868602752686","","","","","","","","","","","48.0112609863281","","","","","","","","","","70.3653","","","","","","","","57.32103","","","","","","74.95891","","","85.61855","","",
"Belgium","BEL","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","18.2551803588867","","","","","","","","","","","","","26.6902904510498","","","","","","","","","","33.238","","","","30.78655","","","","","","40.93838","","","","","","51.94362","",
"Burkina Faso","BFA","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","6.66406011581421","","","","","","","","","","","","","","","","14.1737499237061","","","","","13.9853401184082","","","","","","","24.81137","","26.4829","26.53412","33.12532","","","","","","","43.98583","","","","54.67","",
"Bangladesh","BGD","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","27.1510105133057","","","","","","","","","","37.9897499084473","","","","","","","","","","60.25623","","","","","","67.48857","","","","79.54449","79.3692","86.92579","86.48067","89.53506","93.53532","94.37776","94.91259","",
"Bulgaria","BGR","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.10977","","","","","","","","","","97.65106","","","","","","","","",
