"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.88176","","","","","","","","","","98.96573","","","","","","","","99.6","",
"Afghanistan","AFG","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","45.7960205078125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.87907","","","","","","","74.0848","",
"Angola","AGO","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.77693","","","","","","","","","","","","","84.86238","","","","","",
"Albania","ALB","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.36846","","","","","","","98.53712","","","98.73136","99.37598","","","","","","99.05","",
"Andorra","AND","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","74.6316223144531","74.9091186523438","75.2901000976563","75.7542114257813","76.2671508789063","77.0709991455078","77.8852691650391","78.7097473144531","79.6213073730469","80.3771133422852","81.127799987793","81.8227767944336","82.5741500854492","83.8439102172852","84.4421310424805","84.5554885864258","85.0061264038086","85.469612121582","86.0456390380859","86.4897232055664","86.7737197875977","87.0898513793945","87.3664703369141","87.907829284668","88.5263824462891","90.1299667358398","90.4442367553711","90.585823059082","88.4796676635742","89.024543762207","89.4786376953125","87.1410522460938","87.35307","87.61667","88.37317","88.70166","88.72727","88.78528","87.45969","87.6953","87.84369","",
"United Arab Emirates","ARE","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","65.5117416381836","","","","","","","","","","81.0138320922852","","","","","","","","","","","","","","","","","","","","93.62515","","","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","96.4592208862305","","","","","","","","","","","98.0654907226563","","","","","","","","","","98.7079","","","","","99.38614","","","99.47492","99.0122","99.54525","99.14453","99.51034","99.19587","99.4834","99.38448","","99.24183","",
"Armenia","ARM","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9093704223633","","","","","","","","","","","","99.75235","","","","","","","","","","99.81842","","","","","","99.82128","","",
"American Samoa","ASM","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","97.8886184692383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
