"DATE","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyHeatingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyMaximumDryBulbTemperature","DailySnowfall","DailyMinimumDryBulbTemperature","DailyPrecipitation","DailySustainedWindDirection","DailySustainedWindSpeed","MTD_PRCP","WindDirection"
"2018-01-01 23:59:00",-4,62,30.73,29.93,10.7,0,69,-28.4,1,0,-9,0,310,17,0,"NW"
"2018-01-02 23:59:00",-1,62,30.48,29.62,11.1,0,66,-25.3,8,0,-9,0,220,22,0,"SW"
"2018-01-03 23:59:00",12,65,30.15,29.37,12.3,0,53,-12.2,17,0.1,6,0,330,21,0,"NW"
"2018-01-04 23:59:00",6,60,30.31,29.55,12.4,0,59,-18.1,12,0,0,0,330,20,0,"NW"
"2018-01-05 23:59:00",5,60,30.45,29.68,10.8,0,60,-19,11,0,-1,0,320,20,0,"NW"
"2018-01-06 23:59:00",8,56,30.57,29.77,6.4,0,57,-15.9,17,0,-2,0,200,14,0,"S"
"2018-01-07 23:59:00",21,69,30.12,29.3,15,0,44,-2.9,33,0,8,0.03,210,24,0.03,"SW"
"2018-01-08 23:59:00",34,82,30.04,29.3,11.8,0,31,10.2,37,0,31,0,250,18,0.03,"W"
"2018-01-09 23:59:00",31,87,30.21,29.46,6,0,34,7.3,36,0,26,0,160,14,0.03,"S"
"2018-01-10 23:59:00",43,90,29.85,29.08,15.9,0,22,19.3,56,0,30,0.01,210,31,0.04,"SW"
"2018-01-11 23:59:00",41,86,29.75,29.03,16.3,0,24,17.4,59,0,23,0.36,220,28,0.4,"SW"
"2018-01-12 23:59:00",19,63,30.17,29.47,19.9,0,46,-4.6,23,0,14,0,360,29,0.4,"N"
"2018-01-13 23:59:00",11,53,30.58,29.83,9.8,0,54,-12.5,16,0,6,0,340,23,0.4,"N"
"2018-01-14 23:59:00",13,65,30.51,29.7,9.3,0,52,-10.5,21,0.8,5,0.08,160,22,0.48,"S"
"2018-01-15 23:59:00",17,81,30.25,29.48,10.9,0,48,-6.5,24,2.3,10,0.14,170,17,0.62,"S"
"2018-01-16 23:59:00",18,72,30.47,29.72,11.9,0,47,-5.5,26,0.6,9,0.01,330,18,0.63,"NW"
"2018-01-17 23:59:00",12,71,30.45,29.65,12.4,0,53,-11.4,20,0,4,0,240,25,0.63,"SW"
"2018-01-18 23:59:00",24,64,30.1,29.31,15,0,41,0.6,32,0,16,0,220,22,0.63,"SW"
"2018-01-19 23:59:00",34,61,29.85,29.08,16.7,0,31,10.6,40,0,28,0,210,26,0.63,"SW"
"2018-01-20 23:59:00",39,72,29.93,29.2,8.2,0,26,15.6,45,0,32,0,220,15,0.63,"SW"
"2018-01-21 23:59:00",40,92,29.93,29.18,3.8,0,25,16.5,44,0,36,0,120,8,0.63,"SE"
"2018-01-22 23:59:00",46,87,29.56,28.8,12.5,0,19,22.5,54,0,38,0.81,250,24,1.44,"W"
"2018-01-23 23:59:00",34,79,29.87,29.18,12.7,0,31,10.5,39,0.5,28,0.07,320,21,1.51,"NW"
"2018-01-24 23:59:00",29,73,30.25,29.54,6.4,0,36,5.4,30,0.3,27,0.02,340,13,1.53,"N"
"2018-01-25 23:59:00",34,77,30.27,29.51,9.6,0,31,10.4,43,0,24,0,170,20,1.53,"S"
"2018-01-26 23:59:00",42,58,30.1,29.33,18.5,0,23,18.3,51,0,33,0,200,32,1.53,"S"
"2018-01-27 23:59:00",43,58,30.13,29.41,12.3,0,22,19.2,50,0,36,0,210,31,1.53,"SW"
"2018-01-28 23:59:00",34,76,30.31,29.59,8.7,0,31,10.1,40,0,28,0.01,20,18,1.54,"N"
"2018-01-29 23:59:00",24,67,30.43,29.68,12.1,0,41,0,30,0,17,0,350,21,1.54,"N"
"2018-01-30 23:59:00",23,60,30.33,29.52,10.5,0,42,-1.1,31,0,15,0,170,26,1.54,"S"
"2018-01-31 23:59:00",37,59,29.8,29.03,13.8,0,28,12.8,42,0,31,0,190,25,1.54,"S"
"2018-02-01 23:59:00",22,49,30.13,29.42,15.5,0,43,-2.3,35,0,8,0,310,26,0,"NW"
"2018-02-02 23:59:00",14,47,30.44,29.67,10.3,0,51,-10.5,22,0,5,0,220,17,0,"SW"
"2018-02-03 23:59:00",32,54,29.99,29.17,13.2,0,33,7.3,41,0.8,22,0.03,220,28,0.03,"SW"
"2018-02-04 23:59:00",20,73,30.03,29.31,13.4,0,45,-4.8,35,1.1,4,0.08,340,24,0.11,"N"
"2018-02-05 23:59:00",5,69,30.25,29.49,6.9,0,60,-20,12,2.2,-3,0.22,220,14,0.33,"SW"
"2018-02-06 23:59:00",12,70,30.4,29.63,5.3,0,53,-13.2,21,0.2,3,0.02,340,12,0.35,"N"
"2018-02-07 23:59:00",14,72,30.36,29.6,9.4,0,51,-11.4,20,1.7,8,0.11,290,17,0.46,"W"
